season,date,home_team,away_team,home_score,away_score,result_code,source,odds_home_pinnacle,odds_draw_pinnacle,odds_away_pinnacle,odds_home_max,odds_draw_max,odds_away_max,odds_home_avg,odds_draw_avg,odds_away_avg,imp_home_pinnacle,imp_draw_pinnacle,imp_away_pinnacle,overround_pinnacle,imp_home_max,imp_draw_max,imp_away_max,overround_max,imp_home_avg,imp_draw_avg,imp_away_avg,overround_avg
2012/2013,2012-07-21,Chiapas,Tigres UANL,0,4,-1,football-data,2.93,3.34,2.6,2.95,3.5,2.64,2.74,3.1,2.51,0.341296928327645,0.29940119760479045,0.3846153846153846,0.02531351054782016,0.3389830508474576,0.2857142857142857,0.3787878787878788,0.003485215349622095,0.36496350364963503,0.3225806451612903,0.39840637450199207,0.08595052331291742
2012/2013,2012-07-21,Cruz Azul,Morelia,0,0,0,football-data,2.02,3.53,4.13,2.1,3.7,4.13,2.0,3.26,3.56,0.49504950495049505,0.28328611898017,0.24213075060532688,0.02046637453599187,0.47619047619047616,0.27027027027027023,0.24213075060532688,-0.0114085029339267,0.5,0.3067484662576687,0.2808988764044944,0.08764734266216312
2012/2013,2012-07-21,Queretaro,Leon,0,2,-1,football-data,3.82,3.25,2.22,3.82,3.35,2.29,3.26,3.18,2.16,0.2617801047120419,0.3076923076923077,0.4504504504504504,0.019922862854799828,0.2617801047120419,0.29850746268656714,0.4366812227074236,-0.003031209893967435,0.3067484662576687,0.31446540880503143,0.4629629629629629,0.08417683802566289
2012/2013,2012-07-21,Tijuana,Puebla,2,0,1,football-data,1.91,3.58,4.49,2.24,3.58,4.49,1.93,3.26,3.83,0.5235602094240838,0.27932960893854747,0.22271714922048996,0.0256069675831212,0.4464285714285714,0.27932960893854747,0.22271714922048996,-0.05152467041239106,0.5181347150259068,0.3067484662576687,0.2610966057441253,0.08597978702770082
2012/2013,2012-07-22,Atlas,Pumas UNAM,1,1,0,football-data,2.63,3.23,2.98,2.71,3.25,2.98,2.53,3.04,2.76,0.3802281368821293,0.30959752321981426,0.33557046979865773,0.02539612990060136,0.36900369003690037,0.3076923076923077,0.33557046979865773,0.012266467527865865,0.3952569169960475,0.32894736842105265,0.3623188405797102,0.08652312599681045
2012/2013,2012-07-22,Monterrey,America,0,0,0,football-data,1.85,3.87,4.5,2.1,3.87,4.5,1.92,3.37,3.79,0.5405405405405405,0.25839793281653745,0.2222222222222222,0.021160695579300004,0.47619047619047616,0.25839793281653745,0.2222222222222222,-0.04318936877076418,0.5208333333333334,0.29673590504451036,0.2638522427440633,0.08142148112190695
2012/2013,2012-07-22,Santos Laguna,Atl. San Luis,2,1,1,football-data,1.71,3.85,5.62,1.72,4.4,5.75,1.63,3.63,5.06,0.5847953216374269,0.2597402597402597,0.17793594306049823,0.022471524438184787,0.5813953488372093,0.22727272727272727,0.17391304347826086,-0.017418880411802506,0.6134969325153374,0.27548209366391185,0.19762845849802374,0.08660748467727308
2012/2013,2012-07-22,Toluca,Guadalajara,2,1,1,football-data,2.52,3.33,3.06,2.61,3.33,3.06,2.47,3.09,2.79,0.3968253968253968,0.3003003003003003,0.32679738562091504,0.023923082746612145,0.3831417624521073,0.3003003003003003,0.32679738562091504,0.01023944837332258,0.4048582995951417,0.3236245954692557,0.35842293906810035,0.08690583413249775
2012/2013,2012-07-23,Atlante,Pachuca,0,0,0,football-data,2.65,3.38,2.84,2.7,3.38,2.84,2.6,3.11,2.65,0.37735849056603776,0.2958579881656805,0.35211267605633806,0.025329154788056307,0.37037037037037035,0.2958579881656805,0.35211267605633806,0.018341034592388894,0.3846153846153846,0.3215434083601286,0.37735849056603776,0.08351728354155097
2012/2013,2012-07-28,America,Chiapas,4,2,1,football-data,1.67,4.12,5.46,1.75,4.12,5.46,1.66,3.59,4.79,0.5988023952095809,0.24271844660194175,0.18315018315018314,0.0246710249617057,0.5714285714285714,0.24271844660194175,0.18315018315018314,-0.0027027988193036867,0.6024096385542169,0.2785515320334262,0.20876826722338204,0.08972943781102516
2012/2013,2012-07-28,Leon,Tijuana,4,0,1,football-data,1.95,3.38,4.32,2.0,3.5,4.59,1.88,3.29,3.99,0.5128205128205129,0.2958579881656805,0.23148148148148145,0.040159982467674826,0.5,0.2857142857142857,0.2178649237472767,0.003579209461562316,0.5319148936170213,0.303951367781155,0.2506265664160401,0.0864928278142163
2012/2013,2012-07-28,Morelia,Monterrey,1,0,1,football-data,2.85,3.16,2.75,2.85,3.33,2.75,2.6,3.13,2.6,0.3508771929824561,0.3164556962025316,0.36363636363636365,0.030969252821351212,0.3508771929824561,0.3003003003003003,0.36363636363636365,0.014813856919120072,0.3846153846153846,0.3194888178913738,0.3846153846153846,0.0887195871221429
2012/2013,2012-07-29,Atl. San Luis,Cruz Azul,1,2,-1,football-data,3.15,3.33,2.45,3.15,3.33,2.46,2.9,3.14,2.34,0.31746031746031744,0.3003003003003003,0.4081632653061224,0.025923883066740094,0.31746031746031744,0.3003003003003003,0.4065040650406504,0.024264682801268034,0.3448275862068966,0.3184713375796178,0.4273504273504274,0.09064935113694172
2012/2013,2012-07-29,Guadalajara,Santos Laguna,0,1,-1,football-data,2.45,3.42,3.08,2.68,3.31,3.1,2.39,3.13,2.87,0.4081632653061224,0.29239766081871343,0.3246753246753247,0.025236250800160454,0.3731343283582089,0.3021148036253776,0.3225806451612903,-0.0021702228551232494,0.41841004184100417,0.3194888178913738,0.3484320557491289,0.08633091548150684
2012/2013,2012-07-29,Pachuca,Atlas,0,3,-1,football-data,1.81,3.7,4.97,1.91,3.8,4.97,1.81,3.38,4.2,0.5524861878453039,0.27027027027027023,0.2012072434607646,0.02396370157633876,0.5235602094240838,0.2631578947368421,0.2012072434607646,-0.012074652378309514,0.5524861878453039,0.2958579881656805,0.23809523809523808,0.08643941410622258
2012/2013,2012-07-29,Puebla,Toluca,1,3,-1,football-data,2.45,3.36,3.18,2.54,3.36,3.18,2.41,3.15,2.8,0.4081632653061224,0.2976190476190476,0.31446540880503143,0.020247721730201507,0.39370078740157477,0.2976190476190476,0.31446540880503143,0.0057852438256538186,0.41493775933609955,0.31746031746031744,0.35714285714285715,0.08954093393927409
2012/2013,2012-07-29,Pumas UNAM,Queretaro,3,0,1,football-data,1.61,3.97,6.77,1.66,3.97,6.77,1.57,3.69,5.6,0.6211180124223602,0.2518891687657431,0.14771048744460857,0.02071766863271174,0.6024096385542169,0.2518891687657431,0.14771048744460857,0.002009294764568459,0.6369426751592356,0.2710027100271003,0.17857142857142858,0.08651681375776454
2012/2013,2012-07-29,Tigres UANL,Atlante,2,1,1,football-data,1.47,4.46,8.44,1.47,4.8,8.5,1.43,4.04,7.19,0.6802721088435374,0.2242152466367713,0.11848341232227488,0.02297076780258367,0.6802721088435374,0.20833333333333334,0.11764705882352941,0.006252501000400201,0.6993006993006994,0.24752475247524752,0.13908205841446453,0.08590751019041143
